ihme_loc_id,,location_id,year_id,sex_id,mapvar,age_group_id,location_name,ihme_loc_id
CHN,1,6,2016,3,7.0527606,27,China,CHN
PRK,2,7,2016,3,4.1919775,27,North Korea,PRK
TWN,3,8,2016,3,3.9141002,27,Taiwan,TWN
KHM,4,10,2016,3,2.9069183,27,Cambodia,KHM
IDN,5,11,2016,3,2.8950663,27,Indonesia,IDN
LAO,6,12,2016,3,2.9017048,27,Laos,LAO
MYS,7,13,2016,3,2.8935168,27,Malaysia,MYS
MDV,8,14,2016,3,2.8939044,27,Maldives,MDV
MMR,9,15,2016,3,2.9015019,27,Myanmar,MMR
PHL,10,16,2016,3,2.8968186,27,Philippines,PHL
LKA,11,17,2016,3,2.9030182,27,Sri Lanka,LKA
THA,12,18,2016,3,2.8966238,27,Thailand,THA
TLS,13,19,2016,3,2.891201,27,Timor-Leste,TLS
VNM,14,20,2016,3,2.9012446,27,Vietnam,VNM
FJI,15,22,2016,3,2.5835044,27,Fiji,FJI
KIR,16,23,2016,3,2.5843222,27,Kiribati,KIR
MHL,17,24,2016,3,2.5867114,27,Marshall Islands,MHL
FSM,18,25,2016,3,2.5819495,27,Federated States of Micronesia,FSM
PNG,19,26,2016,3,2.5880725,27,Papua New Guinea,PNG
WSM,20,27,2016,3,2.0281785,27,Samoa,WSM
SLB,21,28,2016,3,2.5842462,27,Solomon Islands,SLB
TON,22,29,2016,3,2.5821733,27,Tonga,TON
VUT,23,30,2016,3,2.5846148,27,Vanuatu,VUT
ARM,24,33,2016,3,4.7434692,27,Armenia,ARM
AZE,25,34,2016,3,4.7862425,27,Azerbaijan,AZE
GEO,26,35,2016,3,4.7457137,27,Georgia,GEO
KAZ,27,36,2016,3,4.7445092,27,Kazakhstan,KAZ
KGZ,28,37,2016,3,4.7681322,27,Kyrgyzstan,KGZ
MNG,29,38,2016,3,4.7259035,27,Mongolia,MNG
TJK,30,39,2016,3,4.7869797,27,Tajikistan,TJK
TKM,31,40,2016,3,4.7742548,27,Turkmenistan,TKM
UZB,32,41,2016,3,4.7270217,27,Uzbekistan,UZB
ALB,33,43,2016,3,4.6111069,27,Albania,ALB
BIH,34,44,2016,3,4.626554,27,Bosnia and Herzegovina,BIH
BGR,35,45,2016,3,4.6148643,27,Bulgaria,BGR
