,age_group_id,location_name,location_id,modelable_entity_name,modelable_entity_id,mean,population,sex_id,year_id
0,22,China,6,Diet low in calcium (g/day),2427,0.45281988674563395,505445927.0320366,1,2016
1,22,China,6,Diet low in calcium (g/day),2427,0.40989287145644526,501547760.54613346,2,2016
0,22,China,6,Diet low in calcium (g/day),2427,0.4314394663410116,1006993687.5781701,3,2016
380,22,China,6,Diet low in fiber (g/day),2428,12.097672976665375,505445927.0320366,1,2016
381,22,China,6,Diet low in fiber (g/day),2428,10.384526703878096,501547760.54613346,2,2016
190,22,China,6,Diet low in fiber (g/day),2428,11.244415714774428,1006993687.5781701,3,2016
760,22,China,6,Diet low in seafood omega-3 fatty acids (g/day),2429,0.041214903539690345,505445927.0320366,1,2016
761,22,China,6,Diet low in seafood omega-3 fatty acids (g/day),2429,0.035675873572101564,501547760.54613346,2,2016
380,22,China,6,Diet low in seafood omega-3 fatty acids (g/day),2429,0.0384561096067081,1006993687.5781701,3,2016
1140,22,China,6,Diet low in fruits (g/day),2430,105.74523255091508,505445927.0320366,1,2016
1141,22,China,6,Diet low in fruits (g/day),2430,120.57268646937908,501547760.54613346,2,2016
570,22,China,6,Diet low in fruits (g/day),2430,113.13026028161704,1006993687.5781701,3,2016
1520,22,China,6,Diet low in whole grains (g/day),2431,44.171163435678956,505445927.0320366,1,2016
1521,22,China,6,Diet low in whole grains (g/day),2431,42.31656821263636,501547760.54613346,2,2016
760,22,China,6,Diet low in whole grains (g/day),2431,43.247455479699966,1006993687.5781701,3,2016
1900,22,China,6,Diet low in legumes (g/day),2432,20.165738583091652,505445927.0320366,1,2016
1901,22,China,6,Diet low in legumes (g/day),2432,16.18524541150003,501547760.54613346,2,2016
950,22,China,6,Diet low in legumes (g/day),2432,18.18319642745775,1006993687.5781701,3,2016
2280,22,China,6,Diet low in milk (g/day),2433,22.546018564044186,505445927.0320366,1,2016
2281,22,China,6,Diet low in milk (g/day),2433,21.576907885345737,501547760.54613346,2,2016
1140,22,China,6,Diet low in milk (g/day),2433,22.063338983607572,1006993687.5781701,3,2016
2660,22,China,6,Diet low in nuts and seeds (g/day),2434,1.9823274983689123,505445927.0320366,1,2016
2661,22,China,6,Diet low in nuts and seeds (g/day),2434,1.9012547481497002,501547760.54613346,2,2016
1330,22,China,6,Diet low in nuts and seeds (g/day),2434,1.9419480433481426,1006993687.5781701,3,2016
3040,22,China,6,Diet high in processed meat (g/day),2435,1.5494701890539873,505445927.0320366,1,2016
3041,22,China,6,Diet high in processed meat (g/day),2435,1.1640871289257169,501547760.54613346,2,2016
1520,22,China,6,Diet high in processed meat (g/day),2435,1.3575245858748755,1006993687.5781701,3,2016
