"iso2c","country","SE.SEC.NENR.FE","year","iso3c","region","capital","longitude","latitude","income","lending"
"1A","Arab World",54.4993095397949,2007,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",,2017,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",59.9337997436523,2016,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",43.9519882202148,1997,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",42.4318809509277,1996,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",42.0500984191895,1995,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",45.4254112243652,1998,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",54.3995208740234,2006,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",54.251781463623,2005,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",53.9145812988281,2004,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",41.6734008789063,1994,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",50.3706512451172,2002,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",59.5759696960449,2015,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",59.3018112182617,2014,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",52.2456588745117,2003,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",59.4045181274414,2013,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",61.4190788269043,2012,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",60.9161911010742,2011,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",58.7807197570801,2010,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",57.9529609680176,2009,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",55.7351112365723,2008,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",39.7589416503906,1993,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",38.8955116271973,1992,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",39.4382591247559,1991,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",39.0534286499023,1990,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",49.5140686035156,2001,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",48.3009185791016,2000,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",47.0038909912109,1999,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1W","World",65.6781387329102,2015,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",65.4466400146484,2014,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",64.5652694702148,2013,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",65.4947814941406,2016,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",63.0153884887695,2011,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",61.8009300231934,2010,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",60.4690093994141,2009,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",63.7716789245605,2012,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",59.066349029541,2007,"WLD","Aggregates","","","","Aggregates","Aggregates"
