"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
1,1,"ALB","Albania","EUS","N",1999,,"X",58.16801,1.9,154.2813,0.04956096,0.008419482,0.002395002,0.01012906,-1,-1,-1,-1,3.108778,"ALB_N1996X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,"DZA","Algeria","AFN","N",1999,,"X",31.77229,1.9,175.9954,0.05981276,0.01218983,0.004167907,0.01481948,-1,-1,-1,-1,30.765613,"DZA_N1995X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"AGO","Angola","AFM","N",1999,2000.21,"X",73.83312,1.9,136.5349,0.3234103,0.1467109,0.08880874,0.2501097,0.5195689,86.36284,0.5125765,-1,15.949766,"AGO_N2000X",0.009832,0.02195,0.03342,0.04495,0.05663,0.07049,0.08808,0.1135,0.1587,0.4025
0,1,"ARM","Armenia","ASW","N",1999,1999,"X",183.7796,1.9,122.4281,0.168849,0.04067171,0.01490608,0.05178529,0.3621972,94.23963,0.21843,-1,3.089017,"ARM_N1999X",0.03043,0.04518,0.05403,0.06192,0.07164,0.08272,0.09658,0.1158,0.1455,0.2963
1,1,"AUS","Australia","OCA","N",1999,,"Y",1.526641,1.9,1127.555,0.007482018,0.006145006,0.005379126,0.008804705,-1,-1,-1,-1,18.926,"AUS_N1995Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"AUT","Austria","EUW","N",1999,2003,"Y",0.8475838,1.9,1414.926,0.002296472,0.002070292,0.001866387,0.005322752,0.2946442,1227.988,0.1587559,-1,7.992324,"AUT_N2003Y",0.0331,0.05166,0.0622,0.0722,0.08163,0.0922,0.1053,0.1213,0.146,0.2344
1,1,"AZE","Azerbaijan","ASW","N",1999,,"X",0.3294187,1.9,196.9786,0.04128207,0.009450774,0.003744775,0.01283063,-1,-1,-1,-1,7.98275,"AZE_N1995X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,"BGD","Bangladesh","ASC","N",1999,,"X",24.84915,1.9,86.84166,0.3725241,0.08690468,0.02903914,0.1075692,-1,-1,-1,-1,129.029691,"BGD_N1995X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"BLR","Belarus","EUE","N",1999,1999,"X",1832.435,1.9,143.0595,0.1044794,0.02641863,0.01012166,0.03422064,0.3173815,122.1751,0.1711599,-1,10.026738,"BLR_N1999X",0.02974,0.04644,0.05751,0.06861,0.07976,0.09221,0.1067,0.1252,0.1535,0.2404
0,1,"BEL","Belgium","EUW","N",1999,2003,"Y",0.879014,1.9,1269.192,0.002354428,0.001544421,0.001013085,0.002512199,0.2814264,1132.692,0.1450443,-1,10.226419,"BEL_N2003Y",0.03284,0.05271,0.0646,0.07461,0.08443,0.09426,0.106,0.1211,0.1472,0.2223
0,1,"BLZ","Belize","LAC","N",1999,1999,"Y",1.182611,1.9,251.4119,0.1492395,0.0661346,0.04124882,0.1021195,0.5326277,149.2728,0.5582195,-1,0.239026,"BLZ_N1999Y",0.009305,0.02282,0.03405,0.04285,0.05338,0.06665,0.08484,0.1092,0.1526,0.4243
0,1,"BEN","Benin","AFW","N",1999,2003,"X",224.9172,1.9,73.51946,0.5361347,0.1852307,0.08499442,0.2561075,0.385782,54.97832,0.2463929,-1,6.664098,"BEN_N2003X",0.02858,0.04115,0.05027,0.05884,0.06928,0.08065,0.09471,0.1145,0.1509,0.3112
0,1,"BTN","Bhutan","ASC","N",1999,2003,"X",16.96291,1.9,119.0125,0.2817614,0.07182747,0.0246338,0.0891556,0.40898,84.15112,0.272455,-1,0.557543,"BTN_N2003X",0.02813,0.0372,0.04557,0.0541,0.06501,0.07725,0.09501,0.1182,0.1573,0.3222
0,1,"BOL","Bolivia","LAS","N",1999,1999,"Y",2.906106,1.9,249.536,0.2529849,0.1534123,0.1141022,0.314115,0.5809705,144.2816,0.7940352,-1,8.182712,"BOL_N1999Y",0.002582,0.0102,0.02238,0.03492,0.04952,0.06702,0.08908,0.1191,0.1793,0.426
0,1,"BIH","Bosnia and Herzegovina","EUS","N",1999,2001,"X",0.8669357,1.9,339.8867,0.00352874,0.001466494,0.0007482858,0.002134432,0.2996645,288.2321,0.1566987,-1,3.759118,"BIH_N2001X",0.0359,0.05195,0.06215,0.0709,0.07998,0.08995,0.1031,0.1181,0.1397,0.2482
