isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,GNR1,GNR2,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
1,1,BDI,Burundi,AFE,Africa,Eastern Africa,N,1999,,X,487.3273,3.2,39.55738,0.9515336,0.6346541,0.4607643,1.243597,-1,-1,-1,-1,6.27894,BDI_N1998X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,AFE,Africa,Eastern Africa,N,2005,,X,487.3273,3.2,45.42363,0.9351022,0.5700614,0.3808713,0.9876367,-1,-1,-1,-1,7.423289,BDI_N1998X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,BDI,Burundi,AFE,Africa,Eastern Africa,N,2010,,X,487.3273,3.2,50.65523,0.9109929,0.5339687,0.3474343,0.9027841,-1,-1,-1,-1,8.76693,BDI_N2006X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,BDI,Burundi,AFE,Africa,Eastern Africa,N,2015,2013.5,X,487.3273,3.2,51.09514,0.9059218,0.5379969,0.3565043,0.9309088,0.3862482,37.9432,0.2467371,-1,10.19927,BDI_N2013X,0.02763,0.04097,0.05043,0.05964,0.0695,0.08006,0.09381,0.1146,0.1531,0.3102
0,1,COM,Comoros,AFE,Africa,Eastern Africa,N,1999,2004,X,220.5725,3.2,230.7956,0.3741086,0.1331899,0.06472399,0.1911362,0.5592516,123.5795,0.546712,-1,0.528848,COM_N2004X,0.01539,0.02471,0.0324,0.04026,0.0483,0.05937,0.07307,0.09246,0.1331,0.481
1,1,COM,Comoros,AFE,Africa,Eastern Africa,N,2005,,X,220.5725,3.2,240.9428,0.339289,0.120116,0.05795288,0.1720543,-1,-1,-1,-1,0.611627,COM_N2004X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,COM,Comoros,AFE,Africa,Eastern Africa,N,2010,,X,220.5725,3.2,197.9612,0.3731774,0.1456039,0.07599974,0.2178819,-1,-1,-1,-1,0.689692,COM_N2004X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,COM,Comoros,AFE,Africa,Eastern Africa,N,2015,2013.5,X,220.5725,3.2,174.7115,0.3839022,0.1569338,0.08489859,0.2398129,0.4533459,119.3757,0.3641958,-1,0.777424,COM_N2013X,0.0161,0.02864,0.03965,0.05116,0.06249,0.07662,0.09823,0.1236,0.1669,0.3366
0,1,DJI,Djibouti,AFE,Africa,Eastern Africa,N,1999,2002,X,101.4806,3.2,135.9943,0.4704658,0.1722566,0.08530453,0.2499343,0.3999784,102.0153,0.2733941,-1,0.700099,DJI_N2002X,0.02313,0.03705,0.04777,0.05804,0.0691,0.08199,0.09802,0.1198,0.1574,0.3077
1,1,DJI,Djibouti,AFE,Africa,Eastern Africa,N,2005,,X,101.4806,3.2,139.6334,0.4651002,0.1764483,0.09276834,0.2723493,-1,-1,-1,-1,0.783254,DJI_N2002X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
