"iso2c","country","SH.DYN.MORT","year","iso3c","region","capital","longitude","latitude","income","lending"
"1A","Arab World",48.4564004404011,2007,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",36.6612018059451,2017,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",37.4480239303103,2016,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",66.5859615060762,1997,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",68.4700712432645,1996,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",70.3968625721295,1995,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",64.7084515319273,1998,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",50.2282213195194,2006,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",51.9474076456891,2005,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",53.6602560198618,2004,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",72.3735826156305,1994,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",57.2434233217573,2002,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",38.2012105185827,2015,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",39.0919830543418,2014,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",55.4054496207966,2003,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",40.0062902027704,2013,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",41.0795344730923,2012,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",42.1702435745869,2011,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",43.4889731496392,2010,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",45.0212758247474,2009,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",46.6673342181034,2008,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",74.4184043182528,1993,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",76.4797610768499,1992,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",78.7394137600664,1991,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",81.141882623023,1990,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",59.0832001064969,2001,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",60.9599294911177,2000,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",62.8178952573078,1999,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1W","World",41.9,2015,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",43.5,2014,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",45.2,2013,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",40.5,2016,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",49.1,2011,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",51.5,2010,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",53.5,2009,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",47.1,2012,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",58.3,2007,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",60.9,2006,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",63.5,2005,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",56,2008,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",39.1,2017,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",69,2003,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",71.7,2002,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",74.5,2001,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",77.1,2000,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",79.5,1999,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",81.8,1998,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",83.7,1997,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",85.4,1996,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",87.1,1995,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",88.6,1994,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",89.6,1993,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",90.8,1992,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",66.5,2004,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",93.2,1990,"WLD","Aggregates","","","","Aggregates","Aggregates"
"1W","World",92,1991,"WLD","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",39.9175131743686,2001,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",42.2707434422049,2000,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",48.5188470720358,1997,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",50.3904116183549,1996,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",44.486756239233,1999,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",37.5079936533597,2002,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",55.6806978064372,1993,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",57.2601506866384,1992,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",52.2098721625903,1995,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",54.0306892151905,1994,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",17.3116413944831,2016,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",18.0631228676901,2015,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",18.8810665046829,2014,"EAP","Aggregates","","","","Aggregates","Aggregates"
"4E","East Asia & Pacific (excluding high income)",19.7809347506278,2013,"EAP","Aggregates","","","","Aggregates","Aggregates"
