Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Africa,292,309.99,311.83,316.49,324.91,321.47,314.53,331.1,337.4,351.74,350.08,358.11,352.52,350.93,361.62,363.42,360.92,373.37,366.44
Americas,485.61,492.26,515.01,492.21,523.18,533.22,504.7,520.61,515.85,522.11,501.54,510.97,514.64,509.95,510.89,510.79,508.97,499.09,490.21
Asia,377.45,396.23,403.74,418.05,449.57,487.61,504.53,516.41,526.34,526.99,546.03,565.3,583.34,602.86,610.65,628.88,646.06,669.24,681.35
Australia and New Zealand,534.69,539.58,532.92,515.83,519.16,550.18,581.14,542.99,545.79,575.59,580.3,566.18,579,580.32,561.25,557.58,532.47,540.61,539.91
Caribbean,374.69,416.46,421.21,430.69,474.68,531.12,573.83,541.06,631.51,595.66,564.91,563.68,571.51,507.19,563.18,564.59,573.05,607.93,615.95
Central America,358.54,377.67,396.14,374.02,417.94,419.8,446.12,441.61,443.01,441.97,433.69,445.26,442.19,442.78,415.1,395.79,395.15,406.22,414.77
Central Asia,313.33,291.53,278.36,290.15,324.52,351.15,387.1,407.1,432.99,451.67,470.89,529.55,553.5,592.33,633.89,675.35,725.62,787.51,817.5
Eastern Africa,207.49,209.38,215.04,222.81,222.45,209.93,208.13,229.88,218.61,221.59,222.74,232.58,228.07,217.92,228.14,239.23,235.07,232.93,230.87
Eastern Asia,499.92,543.24,574.9,587.05,648.77,748.1,782.09,824.77,833.98,854.24,878.2,907.57,936.47,978.68,1000.31,1031.4,1064.54,1104.85,1122.62
Eastern Europe,367.19,369.75,377.84,375.16,377.54,394.55,402.31,404.18,436.55,457.69,467.21,488.23,472.37,481.44,484.97,480.5,514.38,509.49,518.5
Europe,478.8,498.31,494.01,496.95,515.17,530.79,520.7,528.27,547.2,575.24,570.4,575.96,568.23,572.95,581.89,558.61,576.68,563.92,575.41
Melanesia,194.18,197.62,202.81,208.89,200.2,208.9,219.09,213.53,237.53,246,242.76,262.46,271.7,285.73,264.64,263.14,254.06,253.78,269.07
Micronesia,309.12,345.35,333.14,339.28,358.25,380.3,350.46,343.81,309.55,338.85,337.3,388.64,359.81,354.71,363.29,357.84,362.66,339.94,386.97
Middle Africa,263.67,266.89,255.82,258.94,249.59,248.75,245.52,254.58,255.65,264.46,278.47,293.99,301.03,325.21,363.19,367.41,371.06,375.52,390.28
Northern Africa,442.64,489.23,488.33,499.45,529,537.06,520.18,553.55,590.65,628.65,624.56,664.45,647.62,652.14,690.25,664.91,663.31,727.04,706.38
N. America,642.63,650.32,665.59,653.61,674.28,703.06,651.08,663.09,660.51,679.38,642.01,647.23,660.99,638.43,637.25,617.23,593.94,612.15,605.63
Northern America,642.63,650.32,665.59,653.61,674.28,703.06,651.08,663.09,660.51,679.38,642.01,647.23,660.99,638.43,637.25,617.23,593.94,612.15,605.63
Northern Europe,402.1,428.93,440.79,458.76,472.86,462.04,487.94,505.88,556.62,552.45,580.87,598.58,580.3,599.63,574.94,570.33,588.49,589.87,600.35
Oceania,510.03,514.65,508.89,493.82,496.28,525.53,554.31,519.21,523.04,551.08,555.64,544.25,556.92,559.11,540.21,536.57,512.63,520.58,521.03
Polynesia,377,373.28,384.83,401.67,399.86,415.31,410.29,425.54,414.64,421.12,446.68,452.19,476.31,480.6,472.69,462.13,440.71,478.99,477.47
South America,401.93,399.96,433.69,398.15,432.61,425.03,389.5,422.43,404.75,407.27,398.18,411.85,409.23,424.04,433.59,459.03,474.99,428.13,408.81
South-eastern Asia,283.87,279.5,269.68,266.25,282.19,292.81,295.91,313.93,320.72,329.11,332.86,336.61,349.93,348.76,356.4,352.7,361.98,387.75,376.98
Southern Africa,204,215.36,214.69,203.11,224.68,227.59,228,223.19,221.75,212.88,208.88,206.82,204.57,216.93,202.35,212.25,223.2,218.71,225.34
Southern Asia,240.27,247.63,242.24,264.89,275.09,267.63,277.38,258.11,275.24,256.85,277.6,297.76,312.8,322.47,320.94,338.93,347.27,356.66,373.43
Southern Europe,733.71,776.1,766.28,771.02,819.97,821.63,772.74,772.48,786.95,863.32,815.95,791.28,784.34,773.46,824.65,738.93,711.82,664.22,683.32
Western Africa,286.42,304.16,308.67,310.7,314.2,311.04,305.34,312.24,318.62,335.39,331.62,318.16,317.53,313.97,307.9,317.81,315.04,323.52,315.04
Western Asia,720.59,704.54,673.7,710.47,715.3,701.83,688.62,702.07,686.03,676.73,710.11,694.3,681.86,676.44,663.11,660.82,662.42,671.26,686.11
Western Europe,506.67,532.36,502.32,504.48,525.58,561.57,532.36,547.99,530.41,545.53,532.81,530.26,538.79,540.65,540.16,527.69,557.23,552.77,562.04
