Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
World,NA,Men,1975,21.65514025,21.27180037,22.04126437,0.030488384,0.023406362,0.038915731,0.002447487,0.001513166,0.0037698,0.1340012,0.105001896,0.164507563,0.160267072,0.127172287,0.195431237,0.497705325,0.454709565,0.541049438,0.17753802,0.152071829,0.205733903,0.028040897,0.021159862,0.036383941,0.002174407,0.001271887,0.003475628,0.00027308,0.000115888,0.000564632
World,NA,Men,1976,21.72203755,21.37132005,22.07874103,0.031527327,0.024575997,0.03967435,0.002601163,0.001651803,0.003901904,0.132914046,0.105219613,0.161854267,0.158567127,0.126982953,0.192024053,0.497233621,0.456070521,0.538597942,0.179757879,0.155297699,0.207030993,0.028926163,0.022196735,0.037038157,0.002307082,0.001392892,0.003582097,0.000294081,0.000132476,0.000579503
World,NA,Men,1977,21.78920773,21.46256907,22.11614128,0.032596157,0.025763505,0.040628498,0.002765669,0.001796648,0.004073575,0.131844206,0.10549509,0.159524086,0.156852659,0.126980052,0.188537434,0.496708788,0.457496064,0.536096991,0.181998191,0.158458064,0.208148031,0.029830488,0.023210993,0.037707069,0.002448222,0.001518019,0.003713978,0.000317447,0.000149244,0.000596618
World,NA,Men,1978,21.85666869,21.55682091,22.15478222,0.033694585,0.027015363,0.041522115,0.002941558,0.001965398,0.004213286,0.130788389,0.105834781,0.1572506,0.155136932,0.126823683,0.185443721,0.49613434,0.458424294,0.533800172,0.184245754,0.161361827,0.209041736,0.030753027,0.024254084,0.038380908,0.00259804,0.001661723,0.003854391,0.000343518,0.00017172,0.000620552
World,NA,Men,1979,21.92455475,21.65352339,22.19601422,0.03482942,0.028264205,0.042305975,0.003130791,0.002141131,0.004421209,0.129744431,0.106077886,0.154919447,0.15342325,0.126609122,0.181854442,0.495499378,0.45982121,0.531491057,0.186503521,0.164501349,0.210156015,0.031698629,0.025302858,0.039045095,0.002758116,0.001817903,0.003990506,0.000372675,0.000194348,0.000649228
World,NA,Men,1980,21.9932762,21.74899503,22.2409052,0.036012511,0.029624111,0.043272269,0.003335003,0.002340868,0.004614304,0.128687509,0.106149224,0.152340249,0.151710956,0.126128839,0.178660216,0.494802407,0.461013018,0.529042261,0.188786616,0.16767987,0.211370223,0.032677508,0.026373571,0.039789783,0.0029297,0.001971337,0.004170191,0.000405303,0.000220885,0.000682699
World,NA,Men,1981,22.06310821,21.83800207,22.29456926,0.037246664,0.031006022,0.044202571,0.003555929,0.002544433,0.004822145,0.127608959,0.106172972,0.150112658,0.149986922,0.12568509,0.175529068,0.494033932,0.461986628,0.526498491,0.191123523,0.170701381,0.212773207,0.033690736,0.027509217,0.040575103,0.003113913,0.002134794,0.00435015,0.000442015,0.000250171,0.000725877
World,NA,Men,1982,22.13364944,21.92580773,22.3428388,0.038532268,0.032419744,0.045403044,0.003793865,0.002761976,0.005073411,0.12651491,0.106261708,0.147849333,0.148249432,0.125310892,0.172256994,0.493204524,0.46251908,0.523924164,0.193498866,0.173762402,0.214077273,0.034738404,0.028648109,0.041432699,0.003310884,0.00231746,0.004553899,0.000482981,0.000280485,0.00077465
World,NA,Men,1983,22.20435707,22.0111589,22.39969775,0.039864116,0.0338648,0.046552697,0.004049233,0.003004811,0.005332309,0.125420489,0.106341189,0.145704112,0.146513924,0.124633872,0.168891827,0.49230934,0.463067945,0.52185287,0.195892132,0.176925815,0.215428999,0.035814883,0.029817015,0.042415076,0.003520716,0.002518344,0.004773473,0.000528517,0.000315741,0.000832088
World,NA,Men,1984,22.27448986,22.0946364,22.45593111,0.041239038,0.035300535,0.047688887,0.004322872,0.003263551,0.005625017,0.124339575,0.106292432,0.14324908,0.144788275,0.124047811,0.166130327,0.49133738,0.463447056,0.519346631,0.198295732,0.180276507,0.217046252,0.036916166,0.030979404,0.043325126,0.003744015,0.002719311,0.005001929,0.000578858,0.00035326,0.000893857
World,NA,Men,1985,22.34358266,22.17796538,22.51554496,0.042663758,0.036691087,0.048954547,0.004615512,0.003539937,0.0059341,0.12325985,0.106307051,0.140992918,0.143072736,0.123652035,0.16359302,0.490296684,0.463524705,0.516920495,0.200706973,0.183451493,0.218381251,0.038048246,0.032168495,0.044243695,0.003981293,0.002938028,0.005247277,0.000634219,0.000393703,0.000964334
World,NA,Men,1986,22.41123988,22.25480592,22.57170692,0.044134788,0.038283031,0.050288864,0.004926852,0.003831555,0.006263861,0.122179684,0.105979738,0.138839527,0.141370207,0.122780733,0.160585892,0.489185774,0.463822503,0.514297931,0.203129547,0.186693262,0.220178134,0.039207936,0.033426633,0.045307715,0.004232069,0.003164633,0.005517508,0.000694783,0.000442305,0.001037057
World,NA,Men,1987,22.47720967,22.33131187,22.62624912,0.045654229,0.039920374,0.051680881,0.005258277,0.004138014,0.006610936,0.121108155,0.105875846,0.136840474,0.139675183,0.122058583,0.157504995,0.488000397,0.463523443,0.512324262,0.205562036,0.189972505,0.221835241,0.040395952,0.034654591,0.046343192,0.004497092,0.003408399,0.005794538,0.000761184,0.000494723,0.001118531
World,NA,Men,1988,22.54167462,22.40613616,22.68261195,0.047216029,0.04151401,0.053072883,0.00561014,0.004471671,0.006956272,0.120046487,0.105463323,0.135116266,0.137990232,0.121319941,0.155060081,0.48676278,0.463629772,0.510126512,0.207984473,0.192991832,0.223565463,0.04160589,0.035996508,0.047390227,0.004776317,0.003670239,0.00607931,0.000833823,0.000547441,0.001216216
World,NA,Men,1989,22.60448084,22.47493032,22.7341829,0.048817459,0.043165007,0.054579431,0.00598344,0.004819533,0.00736299,0.118985083,0.105124201,0.133361525,0.136316773,0.120542976,0.152452374,0.485484103,0.463298016,0.507434625,0.210396582,0.195933514,0.225427311,0.042834019,0.037302504,0.048490389,0.005069971,0.003940268,0.006371088,0.000913469,0.000609178,0.001320096
World,NA,Men,1990,22.66595437,22.54563925,22.78905012,0.050461503,0.044957533,0.056065312,0.006378751,0.005185999,0.007754924,0.11791581,0.104818172,0.131474855,0.134651913,0.11971235,0.150070125,0.484161934,0.462776772,0.505009089,0.212808839,0.198903291,0.227255721,0.044082752,0.038708019,0.049570256,0.005378141,0.004224945,0.006701164,0.00100061,0.000674681,0.00143039
World,NA,Men,1991,22.7269234,22.61142767,22.84429201,0.052144714,0.046727856,0.057528877,0.006796026,0.005580662,0.008189113,0.116824062,0.104580066,0.129716682,0.132984815,0.118697906,0.147723317,0.482818922,0.462275402,0.502771836,0.215227488,0.201834853,0.229158804,0.045348688,0.040085389,0.050713255,0.005700396,0.004532907,0.00705292,0.00109563,0.000749892,0.001554335
World,NA,Men,1992,22.78802145,22.67712811,22.90184209,0.05386867,0.048611505,0.059152233,0.007236108,0.005998404,0.008645991,0.115708146,0.104090934,0.127969747,0.131316429,0.117645579,0.145222473,0.481441154,0.461835821,0.500309992,0.217665601,0.204686153,0.231070264,0.046632562,0.04146981,0.051841398,0.006037112,0.004859033,0.007413516,0.001198996,0.000830127,0.001688545
World,NA,Men,1993,22.84907911,22.74156013,22.95866906,0.055637334,0.050505115,0.060828717,0.007699838,0.006430289,0.009145598,0.114578142,0.103522108,0.126292704,0.129641159,0.116587486,0.142949276,0.480029983,0.461639955,0.497877622,0.220113382,0.207483503,0.233101963,0.047937496,0.04281411,0.053006164,0.006388743,0.005191129,0.007786635,0.001311095,0.000920221,0.001835285
World,NA,Men,1994,22.90997637,22.80620768,23.018502,0.057455646,0.052407182,0.062579632,0.008189266,0.006887763,0.009700117,0.113439114,0.102655425,0.12481832,0.127960689,0.115600711,0.140667411,0.478563242,0.461048431,0.495470704,0.222581308,0.2102039,0.23522985,0.04926638,0.044271277,0.054290419,0.006756367,0.005539089,0.008165283,0.001432899,0.001015903,0.001990647
World,NA,Men,1995,22.97138253,22.87006093,23.07619469,0.059328859,0.054370199,0.064400198,0.008705951,0.007379771,0.010259056,0.112279862,0.101995685,0.123211937,0.126269701,0.114453123,0.138395161,0.477037125,0.460109163,0.493449668,0.225084453,0.212944033,0.237315811,0.050622908,0.045758324,0.055557412,0.007140963,0.005905787,0.008571167,0.001564988,0.001116769,0.002160147
World,NA,Men,1996,23.03402176,22.93506599,23.13384436,0.061260359,0.056352034,0.066289842,0.009248934,0.007907803,0.010835386,0.111094115,0.101022109,0.121574364,0.124563419,0.113261491,0.136133219,0.475452032,0.459019609,0.491462798,0.227630075,0.21557126,0.23936706,0.052011425,0.047274128,0.05684157,0.007541201,0.006285235,0.008993196,0.001707733,0.001234475,0.002338272
World,NA,Men,1997,23.09784442,23.00029564,23.19526352,0.063254923,0.058417914,0.068262058,0.009819582,0.008466453,0.011423494,0.10988447,0.100184526,0.119976537,0.12284408,0.111977499,0.133899633,0.473806295,0.457796056,0.489341195,0.230210232,0.218593952,0.241565085,0.053435341,0.048767952,0.058142544,0.007957737,0.00668215,0.009443036,0.001861846,0.001360778,0.002528861
World,NA,Men,1998,23.16303144,23.06862879,23.25946769,0.065310047,0.06056787,0.070233389,0.010418003,0.009023528,0.012035337,0.108648466,0.099195337,0.118422008,0.121108374,0.110792492,0.131670472,0.472104332,0.456516591,0.487230106,0.232828782,0.221378808,0.244123903,0.054892044,0.050310119,0.05962414,0.008390879,0.007094897,0.009899052,0.002027124,0.001495111,0.002724966
World,NA,Men,1999,23.22923883,23.13618297,23.32466114,0.06742538,0.062776438,0.072287862,0.011044676,0.00960937,0.01271144,0.107369362,0.098189268,0.11698044,0.119365498,0.109390275,0.129545851,0.470359624,0.45541751,0.48514615,0.235480136,0.224306538,0.246586183,0.056380704,0.051879332,0.061082213,0.008840985,0.007523057,0.010359425,0.002203691,0.001643491,0.002933101
World,NA,Men,2000,23.2958214,23.20594102,23.388154,0.069599771,0.064944582,0.07444421,0.01169785,0.010213555,0.013363179,0.106036608,0.09703131,0.115466656,0.117624847,0.107840983,0.127453166,0.468576961,0.454073181,0.483226316,0.238161814,0.227079839,0.249065894,0.057901921,0.053429288,0.062596157,0.009306982,0.007964101,0.010872768,0.002390868,0.001795984,0.003143431
World,NA,Men,2001,23.36371603,23.27746408,23.45380338,0.071842916,0.067168482,0.07669716,0.012377025,0.010835407,0.014074244,0.104632239,0.095826592,0.11375538,0.115848371,0.106291342,0.12544052,0.466753155,0.452375058,0.481047329,0.24092332,0.229843225,0.251775002,0.059465891,0.054997856,0.064080923,0.009788512,0.008415423,0.011368425,0.002588512,0.001972295,0.003368217
World,NA,Men,2002,23.4330786,23.34756129,23.52071573,0.07416037,0.069499505,0.079112897,0.013083891,0.011485801,0.014823801,0.103163206,0.094443163,0.112214108,0.114035943,0.104581774,0.12348741,0.464884307,0.450689997,0.479036975,0.243756174,0.232728251,0.254398751,0.061076479,0.056580968,0.065684425,0.010286813,0.0088924,0.011900002,0.002797078,0.002155345,0.003603835
World,NA,Men,2003,23.50376756,23.42113553,23.59125584,0.076555089,0.071842795,0.081505841,0.013821292,0.012175676,0.015585067,0.101638207,0.092917026,0.11053973,0.11219516,0.102719634,0.121586821,0.462954355,0.448813132,0.476884744,0.246657189,0.235650953,0.257543744,0.062733798,0.058219929,0.067318573,0.010803572,0.009389411,0.012432882,0.00301772,0.002349039,0.00384942
World,NA,Men,2004,23.57513022,23.49456729,23.66037619,0.079029857,0.074215334,0.083988827,0.01459062,0.01292473,0.016402024,0.100053231,0.091452825,0.109040093,0.110334791,0.100896496,0.119712727,0.46097688,0.44670975,0.474994325,0.249605241,0.238587781,0.260692558,0.064439237,0.059892721,0.06914291,0.011339595,0.00989406,0.013001181,0.003251025,0.002552673,0.004106007
World,NA,Men,2005,23.64687639,23.5649804,23.73088232,0.081585583,0.076724652,0.086697662,0.015393657,0.013689616,0.017274241,0.098418957,0.089762248,0.107359197,0.108459823,0.09912083,0.117906933,0.45894703,0.44462902,0.47310971,0.252588606,0.241509812,0.263877944,0.066191927,0.061550707,0.071024294,0.01189634,0.010397074,0.013607782,0.003497316,0.002771408,0.004381304
World,NA,Men,2006,23.71939565,23.63877308,23.80170017,0.084226339,0.07923526,0.089481102,0.016232806,0.014455024,0.018167116,0.096732547,0.087976544,0.105839647,0.106565124,0.097250044,0.116073618,0.456872442,0.442404896,0.471281592,0.255603548,0.244289949,0.267231613,0.067993532,0.063135871,0.073075261,0.012475495,0.010918942,0.014230909,0.003757311,0.002998052,0.004686953
World,NA,Men,2007,23.79268418,23.71282892,23.87542037,0.086955591,0.081847672,0.092418131,0.017112593,0.015257099,0.019127831,0.095003304,0.086121288,0.104214263,0.104658206,0.095258877,0.114312043,0.454739407,0.439748784,0.469549566,0.258643491,0.246835233,0.270597239,0.069842998,0.064791287,0.075160472,0.013079743,0.011458696,0.01489615,0.00403285,0.003232919,0.005000568
World,NA,Men,2008,23.86603299,23.78269092,23.95097473,0.089775028,0.084324423,0.095486013,0.018037009,0.016117251,0.02017487,0.093263998,0.084113579,0.102714745,0.102751794,0.093156385,0.112695856,0.452529536,0.437183298,0.467995938,0.261679644,0.249418562,0.274144691,0.071738019,0.06643521,0.077338963,0.013710082,0.011997683,0.015619658,0.004326927,0.003474046,0.005362226
World,NA,Men,2009,23.93907763,23.85381853,24.02562548,0.092679411,0.086900412,0.098734153,0.019006908,0.016944411,0.021273722,0.091541301,0.082183676,0.101398541,0.100858094,0.091078455,0.111080411,0.450239325,0.434145699,0.466120712,0.264681868,0.251843839,0.277818677,0.073672504,0.068059717,0.079668598,0.014366768,0.012558418,0.016387806,0.00464014,0.003722619,0.005744033
World,NA,Men,2010,24.01122392,23.92137256,24.10207653,0.095661304,0.089586304,0.102097204,0.020023389,0.017815501,0.022436331,0.089859767,0.080148182,0.099982654,0.09898907,0.088894294,0.109828033,0.447860534,0.431100413,0.464534648,0.267629325,0.254124063,0.281432038,0.075637915,0.069690616,0.081937818,0.015048156,0.013145296,0.01718007,0.004975233,0.003962419,0.006165388
World,NA,Men,2011,24.08343708,23.9866534,24.18158295,0.098715064,0.092127994,0.105629303,0.021089068,0.018708547,0.023692052,0.088226549,0.078267352,0.098788708,0.097155228,0.08665467,0.108517849,0.445396807,0.427970606,0.463120283,0.270506353,0.255997444,0.285392052,0.077625996,0.07125916,0.084446363,0.015754891,0.013708359,0.01805047,0.005334177,0.004228233,0.006648437
World,NA,Men,2012,24.15622262,24.04930758,24.26394755,0.101856326,0.094861648,0.109318592,0.022212831,0.019618566,0.025028431,0.086642584,0.07627819,0.09778147,0.095355706,0.084461929,0.107262768,0.442839125,0.42440797,0.461737986,0.273306258,0.257953768,0.289217487,0.079643495,0.072720361,0.087013553,0.016491921,0.014277312,0.019009745,0.00572091,0.004504849,0.007165707
World,NA,Men,2013,24.23014558,24.1079609,24.35403436,0.105100182,0.097539626,0.113261629,0.023404071,0.02054735,0.026480407,0.085107954,0.074157587,0.096829368,0.093591082,0.082268519,0.10612143,0.440174002,0.420483853,0.460426975,0.27602678,0.259535829,0.293145756,0.081696112,0.074213625,0.089612563,0.01726375,0.014810475,0.02001729,0.006140321,0.00479398,0.007738107
World,NA,Men,2014,24.30516288,24.16423799,24.44406526,0.108459635,0.100276857,0.117438433,0.024672793,0.021510895,0.028056533,0.083616196,0.072001125,0.09595681,0.091859288,0.080102176,0.104921951,0.437401054,0.416417335,0.459055043,0.278663828,0.2611416,0.297040103,0.083786842,0.075741747,0.092429838,0.018075617,0.01537524,0.021122162,0.006597176,0.005076632,0.008420592
World,NA,Men,2015,24.38111049,24.21878707,24.54379074,0.111941945,0.103036196,0.12182623,0.026026294,0.022491259,0.029817409,0.082155434,0.069871902,0.094965751,0.090163782,0.077917305,0.103975039,0.434513194,0.41178867,0.457463759,0.281225646,0.262640108,0.30112841,0.085915651,0.077045882,0.095460614,0.018929369,0.015978214,0.022248417,0.007096926,0.005372888,0.009178965
World,NA,Men,2016,24.45710486,24.26707258,24.64916528,0.115540117,0.105871789,0.126377215,0.02746927,0.023554015,0.031656757,0.080725578,0.067884069,0.094418832,0.088511084,0.075736304,0.103033416,0.431535292,0.407173101,0.456049746,0.283687929,0.263669784,0.305448262,0.088070847,0.078468643,0.098565372,0.019825812,0.016555968,0.023447743,0.007643458,0.005703153,0.010054675
World,NA,Women,1975,22.07770185,21.67708099,22.50295131,0.065633316,0.05368657,0.07891635,0.013996403,0.010015792,0.019050891,0.144659604,0.117082709,0.17360747,0.152228724,0.121824001,0.184146998,0.466855003,0.424619313,0.506967389,0.170623353,0.146376589,0.196814875,0.051636913,0.040394812,0.064656391,0.01111784,0.007420828,0.01607266,0.002878563,0.001613519,0.004843963
World,NA,Women,1976,22.14196196,21.77207942,22.53699038,0.067074218,0.055593703,0.079869369,0.014509053,0.010614151,0.019415039,0.143182544,0.117126129,0.170439454,0.150566061,0.121778898,0.180912809,0.466680025,0.426269098,0.504921723,0.172497152,0.149012068,0.197428103,0.052565165,0.041692723,0.065042762,0.011488506,0.007858789,0.016307877,0.003020547,0.001755539,0.004932664
World,NA,Women,1977,22.2066395,21.86266793,22.57003112,0.068543791,0.057440494,0.080848531,0.015040724,0.011183727,0.019752366,0.1416988,0.116820347,0.167829847,0.148887521,0.121420032,0.177438024,0.46647346,0.427371926,0.502969603,0.174396427,0.151683908,0.198278554,0.053503068,0.042952955,0.065330659,0.011869284,0.008293604,0.016513498,0.00317144,0.001906833,0.005021683
World,NA,Women,1978,22.27117916,21.95285606,22.6062458,0.070024586,0.059280955,0.081851936,0.015587641,0.011834591,0.020184744,0.140226973,0.1168368,0.165117282,0.147214819,0.121195224,0.174418011,0.466237909,0.429165173,0.500972324,0.176295713,0.154325884,0.199298376,0.054436945,0.044230812,0.065733542,0.012257169,0.008753492,0.016748298,0.003330472,0.00206541,0.005122854
World,NA,Women,1979,22.33572498,22.0430611,22.64293806,0.071517304,0.061157455,0.082851057,0.016148483,0.01244064,0.02060709,0.138768377,0.116404705,0.162194839,0.145559838,0.120910292,0.171026515,0.465964507,0.431043539,0.499122955,0.178189974,0.156975114,0.200154769,0.055368821,0.045482907,0.066145656,0.012650956,0.009242548,0.01701923,0.003497527,0.002237456,0.005213241
World,NA,Women,1980,22.4008728,22.12954296,22.68093193,0.073044212,0.063090183,0.083870115,0.016730787,0.013114633,0.021038288,0.137303202,0.116269783,0.159633597,0.143918818,0.120746975,0.168019389,0.465637951,0.432421144,0.497186014,0.180095817,0.159737445,0.201282396,0.056313425,0.046717068,0.066698695,0.013056474,0.009749465,0.017245248,0.003674314,0.002421222,0.005350359
World,NA,Women,1981,22.46743324,22.21609297,22.72552372,0.074615363,0.064887624,0.085026165,0.017335922,0.013781583,0.021546345,0.135806573,0.115808734,0.156916898,0.14227497,0.120346972,0.165182325,0.46526797,0.433833821,0.495471249,0.182035124,0.162495155,0.202381641,0.057279441,0.047981954,0.067165266,0.01347464,0.010260663,0.017534878,0.003861282,0.002618255,0.005478453
World,NA,Women,1982,22.53483171,22.30755496,22.77373238,0.076221248,0.066882221,0.086325976,0.017961739,0.014478673,0.022076002,0.134302526,0.115553237,0.154316126,0.140639106,0.120026675,0.162269319,0.464846325,0.434835204,0.49357119,0.183990793,0.16507345,0.203365484,0.058259509,0.049257778,0.067704252,0.01390337,0.01076561,0.01784456,0.004058369,0.002820183,0.005634949
World,NA,Women,1983,22.60245339,22.38885452,22.82033571,0.077843661,0.068825963,0.08757228,0.018604634,0.015182479,0.022539683,0.132818596,0.11490591,0.151820852,0.139023582,0.119667542,0.159438461,0.464375752,0.436249425,0.49163688,0.185938409,0.167699777,0.204535565,0.059239026,0.050592864,0.068320659,0.014339964,0.011265942,0.018156846,0.004264671,0.003031387,0.005821816
World,NA,Women,1984,22.66949893,22.47261671,22.87155817,0.079485378,0.070812458,0.088748787,0.019265728,0.015914728,0.023087154,0.131365013,0.114392906,0.149258974,0.137432579,0.118975197,0.156848926,0.463843025,0.437149364,0.489575163,0.187874005,0.170298367,0.205731107,0.060219649,0.051892299,0.068974482,0.014784953,0.01179232,0.018479039,0.004480775,0.003252985,0.006004343
World,NA,Women,1985,22.73614058,22.55082086,22.9221057,0.081162247,0.072812943,0.089952451,0.019950715,0.0166656,0.023682398,0.129935747,0.113774781,0.146786158,0.135864174,0.118540116,0.15426039,0.46322946,0.437934144,0.487683135,0.189808373,0.172884529,0.206876721,0.061211532,0.053204071,0.069655786,0.015242348,0.012297173,0.018788297,0.004708367,0.003474956,0.006221397
World,NA,Women,1986,22.80219624,22.62728141,22.97520721,0.082877684,0.074786274,0.091320628,0.020658762,0.017454395,0.024285839,0.128519567,0.113308009,0.14436136,0.134319263,0.117832878,0.151800337,0.462544205,0.438601056,0.485838559,0.191739282,0.175491344,0.208155492,0.062218921,0.054496361,0.070339874,0.015711415,0.012842793,0.019130869,0.004947347,0.003716299,0.006413044
World,NA,Women,1987,22.8672192,22.70388691,23.02679889,0.084621882,0.076846425,0.092766543,0.021388079,0.018243546,0.024912302,0.127134761,0.112751064,0.142346387,0.132806486,0.117104665,0.14938981,0.461783566,0.439621373,0.483985275,0.193653304,0.178046228,0.209286887,0.063233803,0.055776618,0.070992267,0.016191095,0.013378613,0.019496439,0.005196984,0.003973873,0.006627447
World,NA,Women,1988,22.93091084,22.78009362,23.08038542,0.086385282,0.07882024,0.094272177,0.022134536,0.019074525,0.025570757,0.125791886,0.112284397,0.140163234,0.131322979,0.116382028,0.14711975,0.460956683,0.439926533,0.482132284,0.19554317,0.180549112,0.210519854,0.064250746,0.057049093,0.07163734,0.016678133,0.013940235,0.019873137,0.005456403,0.004240231,0.006871434
World,NA,Women,1989,22.99336085,22.85134853,23.13384229,0.088168551,0.080956416,0.095734942,0.022898267,0.019880392,0.02623986,0.124483744,0.111555581,0.138201958,0.129865239,0.115726219,0.144675501,0.460069906,0.439931214,0.480036384,0.197412561,0.183062171,0.211792314,0.065270284,0.058297239,0.07242422,0.017173153,0.014483364,0.020232134,0.005725114,0.00450477,0.007157224
World,NA,Women,1990,23.05511522,22.92283697,23.18618001,0.0899939,0.08301369,0.097269607,0.023686372,0.020728561,0.026975935,0.12319709,0.110846235,0.136280887,0.128419929,0.114898914,0.142658453,0.459115916,0.439815702,0.478217739,0.199273165,0.185630941,0.212952974,0.066307528,0.059504797,0.073133119,0.017681099,0.015051467,0.02066487,0.006005273,0.004777546,0.007427531
World,NA,Women,1991,23.11667156,22.99118703,23.23880428,0.091858797,0.085138637,0.098876242,0.024495113,0.021603145,0.027758188,0.121909635,0.110287314,0.134329721,0.126986425,0.11423312,0.140406102,0.458101858,0.440023315,0.476082606,0.201143285,0.188086681,0.21432399,0.067363685,0.060852189,0.073937796,0.018199369,0.015612241,0.021113738,0.006295744,0.005059689,0.007709593
World,NA,Women,1992,23.17813613,23.06140477,23.2957073,0.093760062,0.087304927,0.100444928,0.025323201,0.02252222,0.028479854,0.120635975,0.109481081,0.132336323,0.125560518,0.113383446,0.138251871,0.457033207,0.439672865,0.474182297,0.203010237,0.190233359,0.21560577,0.068436862,0.062198315,0.074730099,0.018726657,0.016195825,0.021607256,0.006596544,0.005361027,0.008009659
World,NA,Women,1993,23.23941335,23.12859413,23.352642,0.095691033,0.089487108,0.102119126,0.02616946,0.023415233,0.029276678,0.119391291,0.108723789,0.130669814,0.124143727,0.112609722,0.136203295,0.455901432,0.439260368,0.472346318,0.204872518,0.192575275,0.217076081,0.069521573,0.063477374,0.075574085,0.019262157,0.016785989,0.022113843,0.006907303,0.005657035,0.008323138
World,NA,Women,1994,23.30042609,23.19223293,23.40800009,0.097662056,0.091573646,0.103876495,0.027038298,0.024309324,0.030090747,0.118183954,0.108006299,0.129038716,0.122734534,0.111862617,0.134305237,0.454693359,0.439006885,0.470450504,0.206726097,0.194856021,0.21859838,0.070623758,0.064795542,0.076497305,0.019808269,0.017383079,0.022588083,0.007230029,0.005979696,0.008632261
World,NA,Women,1995,23.36249296,23.25663786,23.46688764,0.099690319,0.09375729,0.105785293,0.027936069,0.025232751,0.030947172,0.11699964,0.107360293,0.127300962,0.121332021,0.110967433,0.132486739,0.453401319,0.438397925,0.468634422,0.208576702,0.197131783,0.219999466,0.07175425,0.065975836,0.077473339,0.020369493,0.01799344,0.023076887,0.007566576,0.00631359,0.008975521
World,NA,Women,1996,23.42581873,23.32407721,23.52784248,0.101784376,0.096076718,0.107681546,0.028865002,0.026210227,0.031810065,0.115825129,0.106682175,0.125719142,0.119927046,0.109954465,0.13052503,0.452023366,0.437570812,0.46668602,0.210440084,0.199311929,0.221513292,0.072919374,0.067321392,0.078543506,0.020947444,0.018571556,0.023563536,0.007917558,0.006647933,0.009348374
World,NA,Women,1997,23.49035378,23.39236192,23.59063988,0.103942123,0.098432656,0.109701403,0.029823723,0.027184192,0.032707779,0.114659351,0.105816167,0.124177644,0.11852079,0.108785957,0.128659019,0.45056226,0.436832513,0.464800822,0.212315476,0.20151451,0.223003374,0.0741184,0.068728933,0.079609521,0.021541079,0.01920431,0.024081493,0.008282644,0.007006129,0.009728147
