"region","year","indicator","disaggregation","disagg.value","component","rec","unit","year_range","value.unweighted","value","value.sum","total.pop","n","regional","N"
"Asia","1999","adult_obesity","gender","Female","H",,,"",0.137598727855495,"0.0445772467253537",6.46714020920828,3607456.165,"47",1,
"Asia","1999","adult_obesity","gender","Male","H",,,"",0.078331182860115,"0.0224936760273075",3.6815655944254,3607456.165,"47",1,
"Asia","2000","adult_obesity","gender","Female","H",,,"",0.1405518850188,"0.0464237098023585",6.60593859588359,3654052.445,"47",1,
"Asia","2000","adult_obesity","gender","Male","H",,,"",0.0809754455069507,"0.0238257335216227",3.80584593882668,3654052.445,"47",1,
"Asia","2001","adult_obesity","gender","Female","H",,,"",0.143591614665895,"0.0483541145074831",6.74880588929706,3700566.612,"47",1,
"Asia","2001","adult_obesity","gender","Male","H",,,"",0.0837179578916356,"0.0252458252972154",3.93474402090687,3700566.612,"47",1,
"Asia","2002","adult_obesity","gender","Female","H",,,"",0.146725566775963,"0.0503743358071158",6.89610163847025,3747013.016,"47",1,
"Asia","2002","adult_obesity","gender","Male","H",,,"",0.0865625165971261,"0.026759547809632",4.06843828006493,3747013.016,"47",1,
"Asia","2003","adult_obesity","gender","Female","H",,,"",0.149945665280048,"0.0524863141723946",7.04744626816228,3793387.658,"47",1,
"Asia","2003","adult_obesity","gender","Male","H",,,"",0.0895148906031676,"0.0283725797290923",4.20719985834888,3793387.658,"47",1,
"Asia","2004","adult_obesity","gender","Female","H",,,"",0.153253478812851,"0.0547007216868924",7.20291350420397,3839636.644,"47",1,
"Asia","2004","adult_obesity","gender","Male","H",,,"",0.0925837201551931,"0.0300948563352882",4.35143484729408,3839636.644,"47",1,
"Asia","2005","adult_obesity","gender","Male","H",,,"",0.0957726469678663,"0.0319334830489834",4.50131440748972,3885720.959,"47",1,
"Asia","2005","adult_obesity","gender","Female","H",,,"",0.156649418599724,"0.0570243950967628",7.36252267418705,3885720.959,"47",1,
"Asia","2006","adult_obesity","gender","Male","H",,,"",0.0990867066243816,"0.0338938222332143",4.65707521134594,3931627.648,"47",1,
"Asia","2006","adult_obesity","gender","Female","H",,,"",0.160139030387342,"0.0594606470330992",7.52653442820508,3931627.648,"47",1,
"Asia","2007","adult_obesity","gender","Male","H",,,"",0.102530214559405,"0.0359771930335399",4.81892008429201,3977387.035,"47",1,
"Asia","2007","adult_obesity","gender","Female","H",,,"",0.163726452700687,"0.0620062759272603",7.69514327693228,3977387.035,"47",1,
"Asia","2008","adult_obesity","gender","Male","H",,,"",0.106107897098569,"0.038185474372516",4.98707116363276,4023041.491,"47",1,
"Asia","2008","adult_obesity","gender","Female","H",,,"",0.167415930737567,"0.0646526603204194",7.86854874466566,4023041.491,"47",1,
"Asia","2009","adult_obesity","gender","Female","H",,,"",0.171197658835933,"0.0673895927615179",8.04628996528886,4068644.95,"47",1,
"Asia","2009","adult_obesity","gender","Male","H",,,"",0.109819828580979,"0.040516554539658",5.16153194330599,4068644.95,"47",1,
"Asia","2010","adult_obesity","gender","Female","H",,,"",0.175072136796146,"0.0702087501308343",8.22839042941884,4114207.761,"47",1,
"Asia","2010","adult_obesity","gender","Male","H",,,"",0.113665660685551,"0.0429676041845247",5.34228605222088,4114207.761,"47",1,
"Asia","2011","adult_obesity","gender","Male","H",,,"",0.117635471287482,"0.0455352448448557",5.52886715051167,4159736.053,"47",1,
"Asia","2011","adult_obesity","gender","Female","H",,,"",0.179031649207632,"0.0731033074157505",8.41448751275869,4159736.053,"47",1,
